EmployeeID,AverageWorkingHours,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1552176,49,46,Travel_Rarely,705,Cardiology,2,4,Marketing,1,2,Female,83,3,5,Administrative,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,No
1118605,43,33,Travel_Rarely,924,Maternity,2,3,Medical,1,3,Male,78,3,1,Nurse,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,No
1397325,44,44,Travel_Rarely,1459,Maternity,10,4,Other,1,4,Male,41,3,2,Nurse,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,No
1874834,46,30,Travel_Rarely,125,Maternity,9,2,Medical,1,4,Male,83,2,1,Nurse,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,No
1275746,49,39,Travel_Rarely,895,Cardiology,5,3,Technical Degree,1,4,Male,56,3,2,Other,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,No
1884939,63,24,Travel_Rarely,813,Maternity,1,3,Medical,1,2,Male,61,3,1,Other,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Yes
1650304,45,43,Travel_Rarely,1273,Maternity,2,2,Medical,1,4,Female,72,4,1,Other,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,No
1058169,67,50,Travel_Rarely,869,Cardiology,3,2,Marketing,1,1,Male,86,2,1,Other,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,Yes
1319183,46,35,Travel_Rarely,890,Cardiology,2,3,Marketing,1,4,Female,97,3,1,Other,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,No
1872551,43,36,Travel_Rarely,852,Maternity,5,4,Life Sciences,1,2,Female,82,2,1,Other,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,No
1060693,40,33,Travel_Frequently,1141,Cardiology,1,3,Life Sciences,1,3,Female,42,4,2,Nurse,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,No
1110390,40,35,Travel_Rarely,464,Maternity,4,2,Other,1,3,Male,75,3,1,Nurse,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,No
1448895,48,27,Travel_Rarely,1240,Maternity,2,4,Life Sciences,1,4,Female,33,3,1,Nurse,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,No
1547220,47,26,Travel_Rarely,1357,Maternity,25,3,Life Sciences,1,1,Male,48,1,1,Nurse,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Yes
1680993,46,27,Travel_Frequently,994,Cardiology,8,3,Life Sciences,1,4,Male,37,3,3,Nurse,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,No
1100187,49,30,Travel_Frequently,721,Maternity,1,2,Medical,1,3,Female,58,3,2,Nurse,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,No
1881631,48,41,Travel_Rarely,1360,Neurology,12,3,Technical Degree,1,2,Female,49,3,5,Other,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,No
1622068,40,34,Non-Travel,1065,Cardiology,23,4,Marketing,1,2,Male,72,3,2,Nurse,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,No
1336903,46,37,Travel_Rarely,408,Maternity,19,2,Life Sciences,1,2,Male,73,3,1,Other,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,No
1126243,40,46,Travel_Frequently,1211,Cardiology,5,4,Marketing,1,1,Male,98,3,2,Nurse,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,No
1053707,49,35,Travel_Rarely,1229,Maternity,8,1,Life Sciences,1,4,Male,36,4,1,Nurse,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,No
1708688,62,48,Travel_Rarely,626,Maternity,1,2,Life Sciences,1,1,Male,98,2,3,Nurse,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Yes
1208582,69,28,Travel_Rarely,1434,Maternity,5,4,Technical Degree,1,3,Male,50,3,1,Nurse,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Yes
1127416,41,44,Travel_Rarely,1488,Cardiology,1,5,Marketing,1,2,Female,75,3,2,Nurse,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,No
1710090,43,35,Non-Travel,1097,Maternity,11,2,Medical,1,3,Male,79,2,3,Nurse,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,No
1146606,61,26,Travel_Rarely,1443,Cardiology,23,3,Marketing,1,3,Female,47,2,2,Nurse,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,Yes
1674685,41,33,Travel_Frequently,515,Neurology,1,2,Life Sciences,1,1,Female,98,3,3,Other,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,No
1477077,41,35,Travel_Frequently,853,Cardiology,18,5,Life Sciences,1,2,Male,71,3,3,Nurse,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,No
1269275,49,35,Travel_Rarely,1142,Maternity,23,4,Medical,1,3,Female,30,3,1,Nurse,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,No
1620694,41,31,Travel_Rarely,655,Maternity,7,4,Life Sciences,1,4,Male,48,3,2,Nurse,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,No
1618486,49,37,Travel_Rarely,1115,Neurology,1,4,Life Sciences,1,1,Male,51,2,2,Therapist,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,No
1208054,48,32,Travel_Rarely,427,Neurology,1,3,Medical,1,1,Male,33,3,2,Therapist,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,No
1545352,40,38,Travel_Frequently,653,Maternity,29,5,Life Sciences,1,4,Female,50,3,2,Nurse,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,No
1665908,49,50,Travel_Rarely,989,Neurology,7,2,Medical,1,2,Female,43,2,5,Other,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,No
1312106,42,59,Travel_Rarely,1435,Cardiology,25,3,Life Sciences,1,1,Female,99,3,3,Nurse,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,No
1391215,43,36,Travel_Rarely,1223,Maternity,8,3,Technical Degree,1,3,Female,59,3,3,Nurse,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,No
1677994,44,55,Travel_Rarely,836,Neurology,8,3,Medical,1,4,Female,33,3,4,Other,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,No
1216003,47,36,Travel_Frequently,1195,Maternity,11,3,Life Sciences,1,2,Male,95,2,2,Therapist,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,No
1503437,41,45,Travel_Rarely,1339,Maternity,7,3,Life Sciences,1,2,Male,59,3,3,Other,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,No
1381585,40,35,Travel_Frequently,664,Maternity,1,3,Medical,1,2,Male,79,3,1,Other,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,No
1312369,64,36,Travel_Rarely,318,Maternity,9,3,Medical,1,4,Male,79,2,1,Other,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,Yes
1576355,45,59,Travel_Frequently,1225,Cardiology,1,1,Life Sciences,1,1,Female,57,2,2,Nurse,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,No
1659485,44,29,Travel_Rarely,1328,Maternity,2,3,Life Sciences,1,3,Male,76,3,1,Other,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,No
1530200,47,31,Travel_Rarely,1082,Maternity,1,4,Medical,1,3,Male,87,3,1,Other,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,No
1773482,43,32,Travel_Rarely,548,Maternity,1,3,Life Sciences,1,2,Male,66,3,2,Other,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,No
1188108,47,36,Travel_Rarely,132,Maternity,6,3,Life Sciences,1,2,Female,55,4,1,Nurse,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,No
1471418,40,31,Travel_Rarely,746,Cardiology,8,4,Life Sciences,1,3,Female,61,3,2,Therapist,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,No
1081842,42,35,Travel_Rarely,776,Cardiology,1,4,Marketing,1,3,Male,32,2,2,Nurse,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,No
1146021,47,45,Travel_Rarely,193,Neurology,6,4,Other,1,4,Male,52,3,3,Other,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,No
1880248,45,37,Travel_Rarely,397,Neurology,7,4,Medical,1,1,Male,30,3,3,Other,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,No
1267807,46,46,Travel_Rarely,945,Neurology,5,2,Medical,1,2,Male,80,3,2,Other,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,No
1247348,41,30,Travel_Rarely,852,Maternity,1,1,Life Sciences,1,4,Male,55,2,2,Nurse,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,No
1886039,41,35,Travel_Rarely,1214,Maternity,1,3,Medical,1,2,Male,30,2,1,Other,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,No
1134060,45,55,Travel_Rarely,111,Cardiology,1,2,Life Sciences,1,1,Male,70,3,3,Nurse,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,No
1403326,43,38,Non-Travel,573,Maternity,6,3,Medical,1,2,Female,79,1,2,Other,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,No
1689558,49,34,Travel_Rarely,1153,Neurology,1,2,Medical,1,1,Male,94,3,2,Therapist,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,No
1122798,42,56,Travel_Rarely,1400,Neurology,7,3,Life Sciences,1,4,Male,49,1,3,Therapist,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,No
1477348,48,23,Travel_Rarely,541,Cardiology,2,1,Technical Degree,1,3,Male,62,3,1,Other,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,No
1061371,45,51,Travel_Rarely,432,Maternity,9,4,Life Sciences,1,4,Male,96,3,1,Nurse,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,No
1535342,41,30,Travel_Rarely,288,Maternity,2,3,Life Sciences,1,3,Male,99,2,2,Nurse,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,No
1386780,49,46,Travel_Rarely,669,Cardiology,9,2,Medical,1,3,Male,64,2,3,Nurse,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,No
1254775,45,40,Travel_Frequently,530,Maternity,1,4,Life Sciences,1,3,Male,78,2,4,Nurse,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,No
1818921,48,51,Travel_Rarely,632,Cardiology,21,4,Marketing,1,3,Male,71,3,2,Nurse,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,No
1848882,46,30,Travel_Rarely,1334,Cardiology,4,2,Medical,1,3,Female,63,2,2,Nurse,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,No
1537412,40,46,Travel_Frequently,638,Maternity,1,3,Medical,1,3,Male,40,2,3,Nurse,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,No
1231380,47,32,Travel_Rarely,1093,Cardiology,6,4,Medical,1,2,Male,87,3,2,Nurse,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,No
1293078,42,54,Travel_Rarely,1217,Neurology,2,4,Technical Degree,1,1,Female,60,3,3,Other,3,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,No
1026798,41,24,Travel_Rarely,1353,Cardiology,3,2,Other,1,1,Female,33,3,2,Nurse,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,No
1500402,48,28,Non-Travel,120,Cardiology,4,3,Medical,1,2,Male,43,3,2,Nurse,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,No
1514098,49,58,Travel_Rarely,682,Cardiology,10,4,Medical,1,4,Male,37,3,4,Nurse,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,No
1487216,48,44,Non-Travel,489,Maternity,23,3,Medical,1,2,Male,67,3,2,Nurse,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,No
1843825,69,37,Travel_Rarely,807,Neurology,6,4,Human Resources,1,3,Male,63,3,1,Other,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,Yes
1635251,42,32,Travel_Rarely,827,Maternity,1,1,Life Sciences,1,4,Male,71,3,1,Other,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,No
1088304,62,20,Travel_Frequently,871,Maternity,6,3,Life Sciences,1,4,Female,66,2,1,Nurse,4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,Yes
1792856,46,34,Travel_Rarely,665,Maternity,6,4,Other,1,1,Female,41,3,2,Other,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,No
1787161,42,37,Non-Travel,1040,Maternity,2,2,Life Sciences,1,3,Male,100,2,2,Nurse,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,No
1627796,49,59,Non-Travel,1420,Neurology,2,4,Human Resources,1,3,Female,32,2,5,Administrative,4,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,No
1077558,43,50,Travel_Frequently,1115,Neurology,1,3,Life Sciences,1,1,Female,73,3,5,Other,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,No
1410589,69,25,Travel_Rarely,240,Cardiology,5,3,Marketing,1,3,Male,46,2,2,Nurse,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,Yes
1657986,41,25,Travel_Rarely,1280,Maternity,7,1,Medical,1,4,Male,64,2,1,Other,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,No
1353326,43,22,Travel_Rarely,534,Maternity,15,3,Medical,1,2,Female,59,3,1,Nurse,4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,No
1523794,48,51,Travel_Frequently,1456,Maternity,1,4,Medical,1,1,Female,30,2,3,Nurse,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,No
1851151,68,34,Travel_Frequently,658,Maternity,7,3,Life Sciences,1,1,Male,66,1,2,Nurse,3,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,Yes
1645988,45,54,Non-Travel,142,Neurology,26,3,Human Resources,1,4,Female,30,4,4,Administrative,4,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,No
1849283,48,24,Travel_Rarely,1127,Maternity,18,1,Life Sciences,1,2,Male,52,3,1,Nurse,3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,No
1073480,49,34,Travel_Rarely,1031,Maternity,6,4,Life Sciences,1,3,Female,45,2,2,Other,2,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0,No
1157113,48,37,Travel_Rarely,1189,Cardiology,3,3,Life Sciences,1,3,Male,87,3,3,Nurse,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,No
1130224,45,34,Travel_Rarely,1354,Neurology,5,3,Medical,1,3,Female,45,2,3,Other,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,No
1427732,43,36,Travel_Frequently,1467,Cardiology,11,2,Technical Degree,1,2,Female,92,3,3,Nurse,4,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,No
1852975,47,36,Travel_Rarely,922,Maternity,3,2,Life Sciences,1,1,Female,39,3,1,Nurse,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,No
1845017,43,43,Travel_Frequently,394,Cardiology,26,2,Life Sciences,1,3,Male,92,3,4,Administrative,4,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,No
1212660,41,30,Travel_Frequently,1312,Maternity,23,3,Life Sciences,1,1,Male,96,1,1,Other,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,No
1264790,45,33,Non-Travel,750,Cardiology,22,2,Marketing,1,3,Male,95,3,2,Nurse,2,Married,6146,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7,No
1515486,65,56,Travel_Rarely,441,Maternity,14,4,Life Sciences,1,2,Female,72,3,1,Other,2,Married,4963,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3,Yes
1832980,40,51,Travel_Rarely,684,Neurology,6,3,Life Sciences,1,1,Male,51,3,5,Other,3,Single,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,No
1031688,63,31,Travel_Rarely,249,Cardiology,6,4,Life Sciences,1,2,Male,76,1,2,Nurse,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Yes
1433172,40,26,Travel_Rarely,841,Maternity,6,3,Other,1,3,Female,46,2,1,Other,2,Married,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,No
1607390,49,58,Travel_Rarely,147,Maternity,23,4,Medical,1,4,Female,94,3,3,Nurse,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,No
1842764,65,19,Travel_Rarely,528,Cardiology,22,1,Marketing,1,4,Male,50,3,1,Other,3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,Yes
1176986,46,22,Travel_Rarely,594,Maternity,2,1,Technical Degree,1,3,Male,100,3,1,Nurse,4,Married,2523,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,No
1835832,42,49,Travel_Rarely,470,Maternity,20,4,Medical,1,3,Female,96,3,2,Therapist,1,Married,6567,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11,No
1450885,41,43,Travel_Frequently,957,Maternity,28,3,Medical,1,2,Female,72,4,1,Other,3,Single,4739,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2,No
1810635,48,50,Travel_Frequently,809,Cardiology,12,3,Marketing,1,3,Female,77,3,3,Nurse,4,Single,9208,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1,No
1810242,62,31,Travel_Rarely,542,Cardiology,20,3,Life Sciences,1,2,Female,71,1,2,Nurse,3,Married,4559,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2,Yes
1148129,49,41,Travel_Rarely,802,Cardiology,9,1,Life Sciences,1,3,Male,96,3,3,Nurse,3,Divorced,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7,No
1085450,46,26,Travel_Rarely,1355,Neurology,25,1,Life Sciences,1,3,Female,61,3,1,Other,3,Married,2942,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7,No
1699939,43,36,Travel_Rarely,216,Neurology,6,2,Medical,1,2,Male,84,3,2,Therapist,2,Divorced,4941,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1,No
1612623,47,51,Travel_Frequently,1150,Cardiology,8,4,Life Sciences,1,1,Male,53,1,3,Therapist,4,Single,10650,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3,Yes
1069811,47,39,Travel_Rarely,1329,Cardiology,4,4,Life Sciences,1,4,Female,47,2,2,Nurse,3,Married,5902,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9,No
